gene_id,log2fc,pvalue,qvalue,evidence
WBGene00000001,-0.10340497853333552,0.04379835059874504,0.0697759148202679,False
WBGene00000036,0.07415015302222194,0.022718324128143844,0.03886808932358523,False
WBGene00000038,-0.014749510159998813,0.8385904293218489,0.8729770739104432,False
WBGene00000068,0.4118005803911089,1.4233279286237469e-06,6.8302382916273706e-06,False
WBGene00000069,0.05272378164888991,0.17509862918894517,0.23636813236998258,False
WBGene00000071,0.034728130615553354,0.6533467702937028,0.7181339500295308,False
WBGene00000090,-0.16330697855111076,0.0010524078788430775,0.0024650148828854225,False
WBGene00000108,0.10588355137333405,0.08255927308856717,0.1231786092818156,False
WBGene00000109,0.006923167133331631,0.9533418608057275,0.9631322778614987,False
WBGene00000111,-0.698998581244445,4.7936745558091566e-11,1.347364955507788e-09,True
WBGene00000123,-0.041025612511111476,0.3518560578471232,0.4221199962281798,False
WBGene00000138,0.23311415322222118,0.0015157439038319081,0.0034377246464429734,False
WBGene00000181,0.10519905451110922,0.030851842936926097,0.05090230690012754,False
WBGene00000196,-0.06262825701555563,0.21445934440652303,0.27897438685608866,False
WBGene00000198,-0.05407658971111218,0.17458744184159275,0.23608301843528093,False
WBGene00000206,0.01365152308888895,0.7698285615724761,0.8176181888765705,False
WBGene00000211,-0.04751075854889031,0.44386998767007413,0.5167539649354265,False
WBGene00000212,0.5721877404222226,7.409342544085702e-08,5.290873700134296e-07,False
WBGene00000216,0.0028872192000015673,0.9585604672844144,0.9671629330164541,False
WBGene00000240,0.5238653427555562,2.329980093644842e-08,2.0150487183499898e-07,False
WBGene00000253,0.05800765760444371,0.2766598351392632,0.34288392166078757,False
WBGene00000269,-0.24921967386444344,0.00013564068933943565,0.0004028272547552297,False
WBGene00000279,-0.42034701911777717,2.7906166182859456e-06,1.233828808197213e-05,False
WBGene00000280,0.21406585255555566,0.0005151959659058804,0.0013079329844126707,False
WBGene00000281,0.607273595622221,5.517785589269207e-11,1.4413713418791132e-09,True
WBGene00000283,0.9456426087733316,1.0791915729023218e-11,4.2466188393706364e-10,True
WBGene00000284,-0.3642190567244423,0.0003683037261187592,0.0009750028054411353,False
WBGene00000298,-0.017128614355556238,0.8479363413557266,0.8792172604044227,False
WBGene00000391,0.847358260688889,1.750067292064367e-05,6.406060273742591e-05,True
